country,cases,deaths,recovered,active,population,death_rate_%,recovery_rate_%,rank
USA,111820082,1219487,109814428,786167,334805269,1.09,98.21,1
India,45035393,533570,0,44501823,1406631776,1.18,0.0,2
France,40138560,167642,39970918,0,65584518,0.42,99.58,3
Germany,38828995,183027,38240600,405368,83883596,0.47,98.48,4
Brazil,38743918,711380,36249161,1783377,215353593,1.84,93.56,5
S. Korea,34571873,35934,34535939,0,51329899,0.1,99.9,6
Japan,33803572,74694,0,33728878,125584838,0.22,0.0,7
Italy,26723249,196487,26361218,165544,60262770,0.74,98.65,8
UK,24910387,232112,24678275,0,68497907,0.93,99.07,9
Russia,24124215,402756,23545818,175641,145805947,1.67,97.6,10
Turkey,17232066,102174,0,17129892,85561976,0.59,0.0,11
Spain,13914811,121760,13762417,30634,46719142,0.88,98.9,12
Australia,11853144,24414,11820014,8716,26068792,0.21,99.72,13
Vietnam,11625195,43206,10640971,941018,98953541,0.37,91.53,14
Taiwan,10241523,19005,10222518,0,23888595,0.19,99.81,15
Argentina,10128845,130841,9997258,746,46010234,1.29,98.7,16
Netherlands,8635786,22992,8612599,195,17211447,0.27,99.73,17
Mexico,7702809,334958,6899865,467986,131562772,4.35,89.58,18
Iran,7627186,146811,0,7480375,86022837,1.92,0.0,19
Indonesia,6829221,162063,6647104,20054,279134505,2.37,97.33,20
Poland,6661991,120598,0,6541393,37739785,1.81,0.0,21
Colombia,6400173,143200,6212152,44821,51512762,2.24,97.06,22
Greece,6101379,37869,0,6063510,10316637,0.62,0.0,23
Austria,6081287,22542,6054934,3811,9066710,0.37,99.57,24
Portugal,5643062,28126,5614809,127,10140570,0.5,99.5,25
Ukraine,5557995,112418,5445577,0,43192122,2.02,97.98,26
Chile,5384853,64497,5252450,67906,19250195,1.2,97.54,27
Malaysia,5278406,37348,5233268,7790,33181072,0.71,99.14,28
Canada,4946090,59034,4881312,5744,38388419,1.19,98.69,29
Belgium,4861695,34376,4826798,521,11668278,0.71,99.28,30
Israel,4841772,12707,4798473,30592,9326000,0.26,99.11,31
N. Korea,4772813,74,4772739,0,25990679,0.0,100.0,32
Thailand,4770149,34586,4692636,42927,70078203,0.73,98.38,33
